Test,Section,Question,Module1,Module2Easy,Module2Hard
SAT Practice 1,Reading and Writing,1,A,C,B
SAT Practice 1,Reading and Writing,2,C,D,A
SAT Practice 1,Reading and Writing,3,C,B,B
SAT Practice 1,Reading and Writing,4,B,D,C
SAT Practice 1,Reading and Writing,5,C,A,D
SAT Practice 1,Reading and Writing,6,D,A,B
SAT Practice 1,Reading and Writing,7,D,C,D
SAT Practice 1,Reading and Writing,8,D,D,B
SAT Practice 1,Reading and Writing,9,B,B,D
SAT Practice 1,Reading and Writing,10,C,C,B
SAT Practice 1,Reading and Writing,11,D,C,A
SAT Practice 1,Reading and Writing,12,C,B,A
SAT Practice 1,Reading and Writing,13,A,B,D
SAT Practice 1,Reading and Writing,14,D,A,D
SAT Practice 1,Reading and Writing,15,B,A,D
SAT Practice 1,Reading and Writing,16,B,D,B
SAT Practice 1,Reading and Writing,17,D,A,D
SAT Practice 1,Reading and Writing,18,A,A,D
SAT Practice 1,Reading and Writing,19,C,A,C
SAT Practice 1,Reading and Writing,20,D,C,A
SAT Practice 1,Reading and Writing,21,C,B,B
SAT Practice 1,Reading and Writing,22,D,D,A
SAT Practice 1,Reading and Writing,23,A,A,A
SAT Practice 1,Reading and Writing,24,D,C,B
SAT Practice 1,Reading and Writing,25,C,A,D
SAT Practice 1,Reading and Writing,26,B,A,C
SAT Practice 1,Reading and Writing,27,A,D,A
SAT Practice 1,Math,1,A,B,D
SAT Practice 1,Math,2,B,55,D
SAT Practice 1,Math,3,A,C,60
SAT Practice 1,Math,4,D,B,C
SAT Practice 1,Math,5,A,D,A
SAT Practice 1,Math,6,".3, 3/10",A,B
SAT Practice 1,Math,7,C,240,D
SAT Practice 1,Math,8,5,B,B
SAT Practice 1,Math,9,B,27,16
SAT Practice 1,Math,10,A,C,B
SAT Practice 1,Math,11,B,C,A
SAT Practice 1,Math,12,B,D,C
SAT Practice 1,Math,13,C,47,B
SAT Practice 1,Math,14,B,D,A
SAT Practice 1,Math,15,40,A,A
SAT Practice 1,Math,16,D,C,B
SAT Practice 1,Math,17,C,D,8
SAT Practice 1,Math,18,A,D,C
SAT Practice 1,Math,19,".8824, 15/17",B,D
SAT Practice 1,Math,20,"25/4, 6.25",D,52
SAT Practice 1,Math,21,24,A,A
SAT Practice 1,Math,22,"20.25, 81/4",D,D
SAT Practice 2,Reading and Writing,1,A,B,A
SAT Practice 2,Reading and Writing,2,C,B,B
SAT Practice 2,Reading and Writing,3,B,D,D
SAT Practice 2,Reading and Writing,4,C,D,C
SAT Practice 2,Reading and Writing,5,A,A,B
SAT Practice 2,Reading and Writing,6,B,B,A
SAT Practice 2,Reading and Writing,7,A,C,D
SAT Practice 2,Reading and Writing,8,D,D,D
SAT Practice 2,Reading and Writing,9,D,C,B
SAT Practice 2,Reading and Writing,10,A,A,C
SAT Practice 2,Reading and Writing,11,A,D,C
SAT Practice 2,Reading and Writing,12,B,B,C
SAT Practice 2,Reading and Writing,13,B,B,B
SAT Practice 2,Reading and Writing,14,A,A,C
SAT Practice 2,Reading and Writing,15,C,B,C
SAT Practice 2,Reading and Writing,16,B,B,C
SAT Practice 2,Reading and Writing,17,D,C,B
SAT Practice 2,Reading and Writing,18,A,C,B
SAT Practice 2,Reading and Writing,19,C,D,B
SAT Practice 2,Reading and Writing,20,D,C,D
SAT Practice 2,Reading and Writing,21,A,A,A
SAT Practice 2,Reading and Writing,22,B,B,B
SAT Practice 2,Reading and Writing,23,C,A,D
SAT Practice 2,Reading and Writing,24,C,A,A
SAT Practice 2,Reading and Writing,25,C,B,C
SAT Practice 2,Reading and Writing,26,D,A,A
SAT Practice 2,Reading and Writing,27,C,D,D
SAT Practice 2,Math,1,C,B,B
SAT Practice 2,Math,2,D,B,B
SAT Practice 2,Math,3,9,B,C
SAT Practice 2,Math,4,A,C,A
SAT Practice 2,Math,5,D,192,C
SAT Practice 2,Math,6,52,50,3
SAT Practice 2,Math,7,D,D,D
SAT Practice 2,Math,8,B,10,113
SAT Practice 2,Math,9,B,"15, -5",A
SAT Practice 2,Math,10,C,D,C
SAT Practice 2,Math,11,11875,A,C
SAT Practice 2,Math,12,C,D,"29/3, 9.666, 9.667"
SAT Practice 2,Math,13,B,A,A
SAT Practice 2,Math,14,410,A,A
SAT Practice 2,Math,15,A,D,33
SAT Practice 2,Math,16,"0.5, 1/2",986,8
SAT Practice 2,Math,17,100,C,A
SAT Practice 2,Math,18,B,A,B
SAT Practice 2,Math,19,D,D,A
SAT Practice 2,Math,20,A,A,-34
SAT Practice 2,Math,21,B,D,D
SAT Practice 2,Math,22,C,C,D
SAT Practice 3,Reading and Writing,1,B,B,D
SAT Practice 3,Reading and Writing,2,D,B,D
SAT Practice 3,Reading and Writing,3,C,C,C
SAT Practice 3,Reading and Writing,4,B,B,A
SAT Practice 3,Reading and Writing,5,A,D,C
SAT Practice 3,Reading and Writing,6,D,A,A
SAT Practice 3,Reading and Writing,7,A,D,D
SAT Practice 3,Reading and Writing,8,A,A,D
SAT Practice 3,Reading and Writing,9,A,A,A
SAT Practice 3,Reading and Writing,10,D,C,A
SAT Practice 3,Reading and Writing,11,A,C,A
SAT Practice 3,Reading and Writing,12,B,C,C
SAT Practice 3,Reading and Writing,13,A,B,B
SAT Practice 3,Reading and Writing,14,C,D,C
SAT Practice 3,Reading and Writing,15,A,A,A
SAT Practice 3,Reading and Writing,16,D,D,C
SAT Practice 3,Reading and Writing,17,D,A,B
SAT Practice 3,Reading and Writing,18,D,B,C
SAT Practice 3,Reading and Writing,19,C,B,C
SAT Practice 3,Reading and Writing,20,C,A,A
SAT Practice 3,Reading and Writing,21,B,D,A
SAT Practice 3,Reading and Writing,22,D,D,B
SAT Practice 3,Reading and Writing,23,C,D,B
SAT Practice 3,Reading and Writing,24,A,A,A
